FID,meetwaarde_identificatie,monprog_naam,meetpunt_identificatie,geometriepunt_x,geometriepunt_y,monster_identificatie,compartiment_code,bemonsteringsmethode_code,veldapparaat_code,monsternemingsdatum,monsternemingstijd,monster_tijdutcoffset,referentiehorizontaal_code,grootheid_code,parameter_groep,parameter_omschrijving,eenheid_code,hoedanigheid_code,waardebewerkingsmethode_code,waardebepalingsmethode_code,begindatum,begintijd,meetwaarde_tijdutcoffset,resultaatdatum,resultaatutcoffset,limietsymbool,numeriekewaarde,alfanumeriekewaarde,kwaliteitsoordeel_code,the_geom
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_1236,RWS1995_WADDKT03_4932,RWS-boxcore historie,NZKUSTZONE,5.996746,53.542049,RWS1995_WADDKT03,BS,"Essink, 1991",Box-corer,13-06-95,,NaN,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",13-06-95,,NaN,13-06-95,NaN,,5.359,,0,POINT (5.996746 53.54204903752688)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_124e,RWS1995_WADDKT04_4956,RWS-boxcore historie,NZKUSTZONE,5.628682,53.504544,RWS1995_WADDKT04,BS,"Essink, 1991",Box-corer,13-06-95,,NaN,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",13-06-95,,NaN,13-06-95,NaN,,0.0044,,0,POINT (5.628682 53.50454403757117)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_1264,RWS1995_WADDKT05_4979,RWS-boxcore historie,NZKUSTZONE,4.68756,53.05563,RWS1995_WADDKT05,BS,"Essink, 1991",Box-corer,12-06-95,,NaN,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",12-06-95,,NaN,12-06-95,NaN,,1.0943,,0,POINT (4.6875599999999995 53.05563003808901)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_127f,RWS1995_WADDKT06_5006,RWS-boxcore historie,NZKUSTZONE,6.184807,53.537606,RWS1995_WADDKT06,BS,"Essink, 1991",Box-corer,13-06-95,,NaN,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",13-06-95,,NaN,13-06-95,NaN,,1.7205,,0,POINT (6.184807 53.53760603753212)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_1298,RWS1995_WADDKT07_5034,RWS-boxcore historie,KUSTZONE_OV,6.105635,53.623997,RWS1995_WADDKT07,BS,"Essink, 1991",Box-corer,13-06-95,,NaN,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",13-06-95,,NaN,13-06-95,NaN,,2.7578,,0,POINT (6.105635 53.62399703742959)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_12ac,RWS1995_WALCRN30_5054,RWS-boxcore historie,OFFSHORE_OV,3.112283,51.717515,RWS1995_WALCRN30,BS,"Essink, 1991",Box-corer,28-06-95,,NaN,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",28-06-95,,NaN,28-06-95,NaN,,0.0249,,0,POINT (3.1122829999999997 51.71751503949225)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_12c0,RWS1995_WALCRN70_5074,RWS-boxcore historie,OFFSHORE_OV,2.677821,51.956129,RWS1995_WALCRN70,BS,"Essink, 1991",Box-corer,28-06-95,,NaN,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",28-06-95,,NaN,28-06-95,NaN,,0.0044,,0,POINT (2.677821 51.956129039258016)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_1335,RWS1996_BREEVTN07_2043,RWS-boxcore historie,OFFSHORE_OV,3.840326,52.760333,RWS1996_BREEVTN07,BS,"Essink, 1991",Box-corer,13-05-96,15:09:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Lanice,g/m2,adg,,"Essink, 1991",13-05-96,15:09:00,2,13-05-96,2,,0.0135,,0,POINT (3.8403260000000006 52.760333038417116)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_1336,RWS1996_BREEVTN07_2044,RWS-boxcore historie,OFFSHORE_OV,3.840326,52.760333,RWS1996_BREEVTN07,BS,"Essink, 1991",Box-corer,13-05-96,15:09:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",13-05-96,15:09:00,2,13-05-96,2,,5.0423,,0,POINT (3.8403260000000006 52.760333038417116)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_1586,RWS1996_FRIESFT03_2614,RWS-boxcore historie,FRIESEFR,4.898656,53.743711,RWS1996_FRIESFT03,BS,"Essink, 1991",Box-corer,04-04-96,08:33:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",04-04-96,08:33:00,2,04-04-96,2,,0.3631,,0,POINT (4.898656 53.743711037286104)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_165c,RWS1999_VOORDTA4_4222,RWS-boxcore historie,VOORDELTA,3.81202,51.789747,RWS1999_VOORDTA4,BS,"Essink, 1991",Box-corer,25-03-99,,NaN,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",25-03-99,,NaN,25-03-99,NaN,,0.16077,,0,POINT (3.812020000000001 51.789747039422096)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_167d,RWS1996_FRIESFT15_2847,RWS-boxcore historie,FRIESEFR,4.373651,53.482585,RWS1996_FRIESFT15,BS,"Essink, 1991",Box-corer,04-04-96,13:26:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",04-04-96,13:26:00,2,04-04-96,2,,0.2858,,0,POINT (4.373651000000001 53.48258503759703)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_16ba,RWS1996_HOLLSKT02_2908,RWS-boxcore historie,NZKUSTZONE,4.665344,52.832567,RWS1996_HOLLSKT02,BS,"Essink, 1991",Box-corer,02-04-96,14:01:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",02-04-96,14:01:00,2,02-04-96,2,,0.0019,,0,POINT (4.665343999999999 52.83256703833777)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_175a,RWS1996_OESTGDN03_3063,RWS-boxcore historie,DOGGBANK,2.931913,54.549271,RWS1996_OESTGDN03,BS,"Essink, 1991",Box-corer,21-05-96,21:38:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",21-05-96,21:38:00,2,21-05-96,2,,1.4291,,0,POINT (2.9319129999999993 54.54927103628134)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_1835,RWS1998_VOORDTA4_4587,RWS-boxcore historie,VOORDELTA,3.81202,51.789747,RWS1998_VOORDTA4,BS,"Essink, 1991",Box-corer,18-05-98,,NaN,EPSG4258,MASSPOPVTE,Biotaxon,Lanice,g/m2,adg,,"Essink, 1991",18-05-98,,NaN,18-05-98,NaN,,0.13036,,0,POINT (3.812020000000001 51.789747039422096)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_1994,RWS1996_OESTGDN23_3610,RWS-boxcore historie,DOGGBANK,3.291912,54.860952,RWS1996_OESTGDN23,BS,"Essink, 1991",Box-corer,14-05-96,07:14:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",14-05-96,07:14:00,2,14-05-96,2,,2.3715,,0,POINT (3.2919120000000004 54.860952035874895)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_1ad5,RWS1997_BREEVTN03_2282,RWS-boxcore historie,OFFSHORE_OV,4.440884,53.187021,RWS1997_BREEVTN03,BS,"Essink, 1991",Box-corer,09-04-97,19:48:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",09-04-97,19:48:00,2,09-04-97,2,,1.207,,0,POINT (4.440884 53.18702103793979)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_1c53,RWS1997_BREEVTN34_2661,RWS-boxcore historie,OESTERGR_OV,3.494739,53.499243,RWS1997_BREEVTN34,BS,"Essink, 1991",Box-corer,09-04-97,08:09:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",09-04-97,08:09:00,2,09-04-97,2,,1.2224,,0,POINT (3.4947389999999996 53.49924303757741)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_1c90,RWS1997_DOGGBK03_2722,RWS-boxcore historie,DOGGBANK,3.498598,55.249329,RWS1997_DOGGBK03,BS,"Essink, 1991",Box-corer,04-03-97,20:10:00,1,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",04-03-97,20:10:00,1,04-03-97,1,,0.0463,,0,POINT (3.4985979999999994 55.24932903535535)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_1cdc,RWS1997_DOGGBK05_2794,RWS-boxcore historie,DOGGBANK,3.081903,54.950953,RWS1997_DOGGBK05,BS,"Essink, 1991",Box-corer,05-03-97,08:58:00,1,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",05-03-97,08:58:00,1,05-03-97,1,,0.0869,,0,POINT (3.0819029999999996 54.95095303575578)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_1cfa,RWS1997_DOGGBK07_2823,RWS-boxcore historie,DOGGBANK_OV,4.048577,55.470982,RWS1997_DOGGBK07,BS,"Essink, 1991",Box-corer,04-03-97,16:29:00,1,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",04-03-97,16:29:00,1,04-03-97,1,,0.2626,,0,POINT (4.048577 55.47098203505256)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_1e6b,RWS1997_FRIESFT13_3185,RWS-boxcore historie,OFFSHORE_OV,5.982014,53.857615,RWS1997_FRIESFT13,BS,"Essink, 1991",Box-corer,06-03-97,15:57:00,1,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",06-03-97,15:57:00,1,06-03-97,1,,0.871,,0,POINT (5.9820139999999995 53.85761503714819)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_1e9b,RWS1997_FRIESFT15_3232,RWS-boxcore historie,FRIESEFR,4.373651,53.482585,RWS1997_FRIESFT15,BS,"Essink, 1991",Box-corer,02-04-97,20:57:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",02-04-97,20:57:00,2,02-04-97,2,,6.0387,,0,POINT (4.373651000000001 53.48258503759703)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_1eca,RWS1997_FRIESFT17_3279,RWS-boxcore historie,FRIESEFR,4.498647,53.700649,RWS1997_FRIESFT17,BS,"Essink, 1991",Box-corer,08-04-97,10:34:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",08-04-97,10:34:00,2,08-04-97,2,,0.2762,,0,POINT (4.498646999999999 53.700649037337904)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_1ee6,RWS1997_HOLLSKT03_3307,RWS-boxcore historie,KUSTZONE_OV,4.529238,52.546445,RWS1997_HOLLSKT03,BS,"Essink, 1991",Box-corer,07-04-97,16:30:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",07-04-97,16:30:00,2,07-04-97,2,,4.5479,,0,POINT (4.529238 52.54644503864835)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_1ef1,RWS1997_HOLLSKT04_3318,RWS-boxcore historie,KUSTZONE_OV,4.498954,52.749507,RWS1997_HOLLSKT04,BS,"Essink, 1991",Box-corer,07-04-97,18:11:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",07-04-97,18:11:00,2,07-04-97,2,,0.1217,,0,POINT (4.4989539999999995 52.74950703842895)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_1eff,RWS1997_NOORDWK10_3332,RWS-boxcore historie,KUSTZONE_OV,4.301184,52.301435,RWS1997_NOORDWK10,BS,"Essink, 1991",Box-corer,01-04-97,14:20:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",01-04-97,14:20:00,2,01-04-97,2,,1.0544,,0,POINT (4.301184 52.30143503890655)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_217c,RWS2006_BREEVTN04_3614,RWS-boxcore historie,OFFSHORE_OV,4.304772,53.098961,RWS2006_BREEVTN04,BS,"Essink, 1991",Box-corer,16-03-06,,NaN,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",16-03-06,,NaN,16-03-06,NaN,,0.29559,,0,POINT (4.304772000000001 53.09896103804002)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_217f,RWS1997_OESTGDN19_3958,RWS-boxcore historie,OESTERGR_OV,2.998583,54.49927,RWS1997_OESTGDN19,BS,"Essink, 1991",Box-corer,02-04-97,08:57:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",02-04-97,08:57:00,2,02-04-97,2,,0.9945,,0,POINT (2.998583 54.49927003634567)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_22c9,RWS1997_TERSLG30_4281,RWS-boxcore historie,OFFSHORE_OV,4.939617,53.612726,RWS1997_TERSLG30,BS,"Essink, 1991",Box-corer,08-04-97,08:01:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",08-04-97,08:01:00,2,08-04-97,2,,0.0386,,0,POINT (4.939617 53.61272603744301)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_230f,RWS1997_VOORDTA4_4351,RWS-boxcore historie,VOORDELTA,3.81202,51.789747,RWS1997_VOORDTA4,BS,"Essink, 1991",Box-corer,18-04-97,11:05:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Lanice,g/m2,adg,,"Essink, 1991",18-04-97,11:05:00,2,18-04-97,2,,0.001,,0,POINT (3.812020000000001 51.789747039422096)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_2310,RWS1997_VOORDTA4_4352,RWS-boxcore historie,VOORDELTA,3.81202,51.789747,RWS1997_VOORDTA4,BS,"Essink, 1991",Box-corer,18-04-97,11:05:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",18-04-97,11:05:00,2,18-04-97,2,,13.8078,,0,POINT (3.812020000000001 51.789747039422096)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_231c,RWS1997_VOORDTA5_4363,RWS-boxcore historie,VOORDELTA,3.917852,51.921419,RWS1997_VOORDTA5,BS,"Essink, 1991",Box-corer,10-04-97,16:03:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",10-04-97,16:03:00,2,10-04-97,2,,1.9543,,0,POINT (3.917852000000001 51.92141903929253)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_232d,RWS1997_WADDKT02_4378,RWS-boxcore historie,KUSTZONE_OV,5.825629,53.610383,RWS1997_WADDKT02,BS,"Essink, 1991",Box-corer,03-03-97,23:20:00,1,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",03-03-97,23:20:00,1,03-03-97,1,,0.2646,,0,POINT (5.825629000000001 53.610383037445786)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_233b,RWS1997_WADDKT03_4392,RWS-boxcore historie,NZKUSTZONE,5.996746,53.542049,RWS1997_WADDKT03,BS,"Essink, 1991",Box-corer,03-03-97,17:20:00,1,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",03-03-97,17:20:00,1,03-03-97,1,,0.0251,,0,POINT (5.996746 53.54204903752688)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_235c,RWS1997_WADDKT05_4425,RWS-boxcore historie,NZKUSTZONE,4.68756,53.05563,RWS1997_WADDKT05,BS,"Essink, 1991",Box-corer,03-03-97,11:02:00,1,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",03-03-97,11:02:00,1,03-03-97,1,,0.112,,0,POINT (4.6875599999999995 53.05563003808901)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_236b,RWS1997_WADDKT06_4439,RWS-boxcore historie,NZKUSTZONE,6.184807,53.537606,RWS1997_WADDKT06,BS,"Essink, 1991",Box-corer,03-03-97,21:16:00,1,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",03-03-97,21:16:00,1,03-03-97,1,,0.2221,,0,POINT (6.184807 53.53760603753212)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_237c,RWS1997_WADDKT07_4456,RWS-boxcore historie,KUSTZONE_OV,6.105635,53.623997,RWS1997_WADDKT07,BS,"Essink, 1991",Box-corer,03-03-97,22:10:00,1,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",03-03-97,22:10:00,1,03-03-97,1,,0.0811,,0,POINT (6.105635 53.62399703742959)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_23cc,RWS1998_BREEVTN03_2428,RWS-boxcore historie,OFFSHORE_OV,4.440884,53.187021,RWS1998_BREEVTN03,BS,"Essink, 1991",Box-corer,19-06-98,08:34:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",19-06-98,08:34:00,2,19-06-98,2,,0.07918,,0,POINT (4.440884 53.18702103793979)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_23e9,RWS1998_FRIESFT06_3244,RWS-boxcore historie,OESTERGR_OV,5.898668,54.188181,RWS1998_FRIESFT06,BS,"Essink, 1991",Box-corer,16-06-98,17:11:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Lanice,g/m2,adg,,"Essink, 1991",16-06-98,17:11:00,2,16-06-98,2,,0.00579,,0,POINT (5.898668000000001 54.18818103674008)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_23f0,RWS1998_BREEVTN05_2462,RWS-boxcore historie,OFFSHORE_OV,4.006989,53.024233,RWS1998_BREEVTN05,BS,"Essink, 1991",Box-corer,18-06-98,22:33:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Lanice,g/m2,adg,,"Essink, 1991",18-06-98,22:33:00,2,18-06-98,2,,0.00386,,0,POINT (4.006989 53.024233038124386)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_24d7,RWS1998_BREEVTN19_2691,RWS-boxcore historie,OFFSHORE_OV,3.986177,52.274208,RWS1998_BREEVTN19,BS,"Essink, 1991",Box-corer,30-03-98,15:25:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",30-03-98,15:25:00,2,30-03-98,2,,2.45653,,0,POINT (3.9861770000000005 52.2742080389348)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_24f5,RWS1998_BREEVTN20_2719,RWS-boxcore historie,OFFSHORE_OV,4.162567,52.384769,RWS1998_BREEVTN20,BS,"Essink, 1991",Box-corer,30-03-98,18:21:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",30-03-98,18:21:00,2,30-03-98,2,,21.40582,,0,POINT (4.162567000000001 52.384769038819556)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_2540,RWS1998_BREEVTN24_2795,RWS-boxcore historie,OFFSHORE_OV,3.239787,51.693627,RWS1998_BREEVTN24,BS,"Essink, 1991",Box-corer,18-06-98,06:30:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Lanice,g/m2,adg,,"Essink, 1991",18-06-98,06:30:00,2,18-06-98,2,,0.00772,,0,POINT (3.239787 51.69362703951531)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_2541,RWS1998_BREEVTN24_2796,RWS-boxcore historie,OFFSHORE_OV,3.239787,51.693627,RWS1998_BREEVTN24,BS,"Essink, 1991",Box-corer,18-06-98,06:30:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",18-06-98,06:30:00,2,18-06-98,2,,0.12167,,0,POINT (3.239787 51.69362703951531)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_2595,RWS1998_BREEVTN34_2879,RWS-boxcore historie,OESTERGR_OV,3.494739,53.499243,RWS1998_BREEVTN34,BS,"Essink, 1991",Box-corer,31-03-98,07:50:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",31-03-98,07:50:00,2,31-03-98,2,,1.21861,,0,POINT (3.4947389999999996 53.49924303757741)
